Time,User,Message
15.0,9ff3b2a8ae71b1d34d64670c0e6a5d0f8c15aeba,die 
15.0,3cbb3f1821f4004c93487d1e2bfa35afa7445f3c,5k viewers and 0 chatters nymnweird 
19.0,9ff3b2a8ae71b1d34d64670c0e6a5d0f8c15aeba,pls 
27.0,3cbb3f1821f4004c93487d1e2bfa35afa7445f3c,view botting nymnweird 
40.0,9ff3b2a8ae71b1d34d64670c0e6a5d0f8c15aeba,botbotbotbotbotbotbotbot 
46.0,72a91ae8335c8aaa3de6fa237a3744f2072e8a2a,ive never witnessed more virgins in one room than this right here 
58.0,d0199a1f176ab0e426c8b2a148776578bd449116,3cbb3f1821f4004c93487d1e2bfa35afa7445f3c haha good human joke 
59.0,9ff3b2a8ae71b1d34d64670c0e6a5d0f8c15aeba,botbotbotbot gg 
62.0,03fcf559918df8462e099f119d4d9fedbbac3c53,frontpage 
92.0,92036da0045b3dbcda4758b73b470d545cf0ec17,pogchamp front page 
143.0,246caaf5004e43fd0ed7f7b0fbea613bd357b7b8,you need trisha to teach you how to swear cleanly 
176.0,92036da0045b3dbcda4758b73b470d545cf0ec17,nope 
182.0,92036da0045b3dbcda4758b73b470d545cf0ec17,you have to kill all 4 
247.0,92036da0045b3dbcda4758b73b470d545cf0ec17,tfug 
267.0,46798060ca61f7ab775c8ce1cd56a439e12ec392,focus fire on support 
277.0,7012d65bc42bf3426b44d782e1078d53241e7be4,have you ever thought about switching sides the other side has a on site doctor cool entrances and lots of fun robots to play with 
283.0,46798060ca61f7ab775c8ce1cd56a439e12ec392,nice try :) 
303.0,92036da0045b3dbcda4758b73b470d545cf0ec17,are you looking for a meta or just fun because there's a very meta way to beat this 
398.0,92036da0045b3dbcda4758b73b470d545cf0ec17,mccree should position on the bridge with the staircase 
428.0,a6aed4f1d0c922288a6529734a75a105e28f37cc,if mccree shoots at high noon does that mean junkenstein is better at low midnight :thinking_face: 
434.0,92036da0045b3dbcda4758b73b470d545cf0ec17,also if denise really wants to go with genji then she could try playing with mouse and keyboard if it's available 
437.0,46798060ca61f7ab775c8ce1cd56a439e12ec392,for denise: keep the big bad in your sights when you q your supersword they will not like it :) gandstwc 
600.0,246caaf5004e43fd0ed7f7b0fbea613bd357b7b8,points a6aed4f1d0c922288a6529734a75a105e28f37cc 
657.0,7012d65bc42bf3426b44d782e1078d53241e7be4,for balloons: you are just sitting there start carrying your weight 
783.0,246caaf5004e43fd0ed7f7b0fbea613bd357b7b8,you can beat this 
857.0,b3cea35972a836e7689bc85f45383f62b8906dfe,de-fence 
877.0,46798060ca61f7ab775c8ce1cd56a439e12ec392,use genji def for the grenade launchers 
939.0,7012d65bc42bf3426b44d782e1078d53241e7be4,d-locate 
951.0,246caaf5004e43fd0ed7f7b0fbea613bd357b7b8,hheeh 
956.0,a8563346f330dc697008badb2de5fbf12d55ad86,theyve gotta focus mercy 
1014.0,7012d65bc42bf3426b44d782e1078d53241e7be4,denise has a ultimate 
1052.0,b6275106d6d685944d03934054a0acf1352c0913,ayy 
1061.0,5492d4458ce33c1097e21f6f2926a6985eded610,q 
1086.0,7012d65bc42bf3426b44d782e1078d53241e7be4,sorry about your job 
1096.0,24b103a75fc899349cacbc6595e1d17a08ad8143,you can dash as genji 
