Time,User,Message
0.0,eec3a07cec493ac1dcdde8f871479caa50e03a68,wait 
1.0,afd6e73081bef8e5f35a457e06f89d60cf32c793,how did toss get nerfed 
2.0,bc317e4537c9ac7ec092db82c1a584b6571c0674,lul 
12.0,eec3a07cec493ac1dcdde8f871479caa50e03a68,c2e701d7e3c5babfd5bbb8cb9943051371925d76 you changed your colour from a few days ago 
19.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,piggy 
21.0,6a34cdbbb9d3b518917fe90c933abd147c5e74fd,it sounds enchanting 
24.0,d69e64a09b900c1eb6982cd88603a25befc890bc,thanks for welcoming me minik 
26.0,2b04db727268b3dda7f52c292f561986820de968,steamy 
51.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,idk how to change my color eec3a07cec493ac1dcdde8f871479caa50e03a68 
51.0,8dfd1a1d080535eb3bc3fa291e13fb244b34a77d,any team game in the near future 
53.0,ee7b6a79e5ba5b3bd7b0d81014ececab4b9cd832,phoooenix 
54.0,f6e53f178056d32c5740482e2a4ccfc099748912,do it 
58.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,i assume it changes every time i load twitch 
59.0,1e2d43bf595bfc702eeb452fae622d4e512cb051,he was actually playing dota2 earlier 
65.0,f6e53f178056d32c5740482e2a4ccfc099748912,no warpgate 
70.0,eec3a07cec493ac1dcdde8f871479caa50e03a68,c2e701d7e3c5babfd5bbb8cb9943051371925d76 the other day you were blue 
73.0,0f554fe46c32663ae5a46cdf7725c5808415c144,icyfar 
73.0,1e2d43bf595bfc702eeb452fae622d4e512cb051,tlo that is 
75.0,7c7f98ef8a174e6cf94f6df9925c288639acafe8,ask tlo 
77.0,7c7f98ef8a174e6cf94f6df9925c288639acafe8,:d 
88.0,8dfd1a1d080535eb3bc3fa291e13fb244b34a77d,awesome 
102.0,c0a71afa70ad5d2fa9e59a0b4633e070dd3fd6a5,shaweeet 
113.0,2b04db727268b3dda7f52c292f561986820de968,ipiglol 
151.0,f6e53f178056d32c5740482e2a4ccfc099748912,lul 
173.0,6150aaa37f9a4650b0ef35030a5f11615692a38e,there's no such thing as honor in pvp kappa 
191.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,there's no such thing as honor in starcraft kappa ftfy 
242.0,0515e9a34104337a71fd26b0b80d6900681a7b92,i am cold 
247.0,1e2d43bf595bfc702eeb452fae622d4e512cb051,i just got the feeling of deja vu there i swear that same thing happened with the probe yesterday and ff69a889837e11dd08f018bbcc8042bbadd1ab56 said the same exact thing about it then 
420.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,pig so cheesy stinkycheese 
420.0,96ffd7e5344c7389a614c9da6a5dca5af03eedb6,^^ 
426.0,f6e53f178056d32c5740482e2a4ccfc099748912,should've cancelled nat and maybe gotten robo and 1 immo and defended with phoenix and batteries 
433.0,d3c1d4321fc8dce99b982fe6d04e1a0f8d1aa282,ipiggers 
433.0,de0f1fa48454fb36a6129ee9ac9fa8f990a8ef7a,get 420 rank if you beat maynard 
455.0,42c4d9d06757aaa79fc7bb16d197b0deeedaac4e,just ask politely to stop attacking you it works all the time 
471.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,^ this 
477.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,the sc2 community is very nice :) 
520.0,f6e53f178056d32c5740482e2a4ccfc099748912,they killed the scouting probe like that and then wanted to macro lul 
542.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,please pig mine the bridges 
546.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,what's wrong with killing free probes dansgame 
546.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,it would make me so happy 
563.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,i'm going to bribe pig to mine the ephemeron bridges one day 
687.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,cheese again? pogchamp 
688.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,that starport lol 
693.0,0f7324b2e09a55bfd4b6107550e2d01c7a5384ab,thats a lot of damage 
706.0,b694b79c180fff0350608dda13f729a578b10c64,lul 
803.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,dat deny keepo 
811.0,f6e53f178056d32c5740482e2a4ccfc099748912,so sad to see 
857.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,triple mule though 
944.0,21d740f89d48143f2a09a6749e2b035a6c831aea,this might actually be doable for pig 
1001.0,78d25d38b00f12040df7a15a59f121aefc94b9eb,go hooman go mrdestructoid 
1037.0,f0918043aa4de438ddca508b350d6c6a8cfcb011,should be ipiggg 
1069.0,7462cd5e9a08fa97e7b56fecd3b3bea27e766002,go pig 
1090.0,f0918043aa4de438ddca508b350d6c6a8cfcb011,oh wait the second colossus popped welp 
1184.0,7462cd5e9a08fa97e7b56fecd3b3bea27e766002,bunker push 
1202.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,how about a flo style bc push 
1227.0,f6e53f178056d32c5740482e2a4ccfc099748912,building armour upgrade :) 
1244.0,f6e53f178056d32c5740482e2a4ccfc099748912,so cool to see bunkers used offensively 
1247.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,that and the cc 
1270.0,7462cd5e9a08fa97e7b56fecd3b3bea27e766002,archons melt to bio 
1282.0,21d740f89d48143f2a09a6749e2b035a6c831aea,this tank position is so sick 
1290.0,7f8775d2e344f13f633ebb170036b3530da52b36,gg 
1293.0,2d495234b380667bf868db546fb5b4be11a0e6cd,gg 
1298.0,61c3d141e01cb9e9e0f998e50c33317154275174,it seems like you know when everything is finishing up back home how do you develop that just starting out w terran and feel like my macro is okay but needs to be better 
1300.0,e8120869002755ad985b07223913d329cca92ffa,gennagg 
1304.0,dbc74c467c34b18d42f9d408e8cac00a272e4976,nice one dude 
1309.0,96ffd7e5344c7389a614c9da6a5dca5af03eedb6,tank fire range extends to 17 if you force fire a target 
1316.0,78d25d38b00f12040df7a15a59f121aefc94b9eb,not dying is a good strategy 
1339.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,not dying to gm sound like a fun series 
1358.0,7f8775d2e344f13f633ebb170036b3530da52b36,let the starport be free angelthump 
1368.0,d69e64a09b900c1eb6982cd88603a25befc890bc,its hard enought to get pig to write down games he lost lul 
1416.0,3f54782df9b9c1fc3696fc296945250dcad70640,hey pig if you could choose anyone from history to do a voice pack who would it be 
1424.0,2990d9aa63105765210f770d5af7433d53cea973,hey ff69a889837e11dd08f018bbcc8042bbadd1ab56 is the reason players like heromarine only use drops to clear creep because if they keep dropping zerg bases the creep spread will get out of control and he knows he wont get damage 
1426.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,brood tanks are what stukov gets in coop 
1473.0,61c3d141e01cb9e9e0f998e50c33317154275174,thanks pig 
1519.0,2990d9aa63105765210f770d5af7433d53cea973,the issue im having is i cant really watch pro replays to see how to defend 4 drops at once since it never happens in their games 
1530.0,dbc74c467c34b18d42f9d408e8cac00a272e4976,i live in aus and i can't watch your stream coz of work - so no point subscribing have you got a different preferred way for support 
1533.0,e8120869002755ad985b07223913d329cca92ffa,ff69a889837e11dd08f018bbcc8042bbadd1ab56 if i play zerg and i'm dumb enough to let a protoss turtle up with some air-only army is there something i should be making to fight it beside corruptors 
1536.0,2990d9aa63105765210f770d5af7433d53cea973,do i really just need to split 10 zerglings and 2 banes into every base 
1543.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,2990d9aa63105765210f770d5af7433d53cea973 do you mean a doom drop 
1558.0,58a62fa2847d82de56937ae1f58041fb515bc616,im that air only protoss xd 
1566.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,it absolutely does happen 2990d9aa63105765210f770d5af7433d53cea973 they just manage it with minimal interaction per drop 
1567.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,e8120869002755ad985b07223913d329cca92ffa infestors corruptors vipers this is your friend 
1578.0,f1c03bcd5d52b635d5acc259a9446933a5e08715,diamond in the ruff coming up 
1581.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,spotting + army control will help a lot 
1582.0,0ff3ed662713041702de8365b34c9d44435de679,icyfar 
1596.0,2990d9aa63105765210f770d5af7433d53cea973,like on winters gate they just fly around the deadspace and i dont know how to deny them 
1599.0,2990d9aa63105765210f770d5af7433d53cea973,before they start dropping units 
1611.0,2990d9aa63105765210f770d5af7433d53cea973,even if i know theyre coming 
1625.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,pig is learning ya pay attn 
1634.0,e8120869002755ad985b07223913d329cca92ffa,thx 81a2a136bf407d5d6d3b027132ef71aa5e455d19 i forgot about vipers should do the trick if i fail to kill him early 
1637.0,2990d9aa63105765210f770d5af7433d53cea973,i play ling bane into ultra 
1641.0,2990d9aa63105765210f770d5af7433d53cea973,pretty much every game 
1665.0,5eaa419aff6c4519a11af9a295573d1eee88f3f4,ff69a889837e11dd08f018bbcc8042bbadd1ab56 what is the meta for tvt im just experiencing this matchup now in random its intense lol 
1673.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,e8120869002755ad985b07223913d329cca92ffa infestors counter literally everything about skytoss 
1686.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,hydra viper and you can just pick off stugg 
1695.0,e8120869002755ad985b07223913d329cca92ffa,i'm too dumb for infestors though 
1712.0,ab8fdeec1e2653eaaff888d217c4f720579cae02,investor+ viper is strong against mass air 
1731.0,e8120869002755ad985b07223913d329cca92ffa,i tried to just spam hydras but i was getting spanked without vipers 
1732.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,e8120869002755ad985b07223913d329cca92ffa hydra viper is pretty simple you can also use parasitic bomb 
1733.0,ab8fdeec1e2653eaaff888d217c4f720579cae02,infestor lol 
1746.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,but do learn infestors it will help 
1746.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,respond with gl hf back you bming ausshat 
1751.0,81a2a136bf407d5d6d3b027132ef71aa5e455d19,not super hard 
1757.0,2990d9aa63105765210f770d5af7433d53cea973,i just play 5 gas 80 drones 
1764.0,2990d9aa63105765210f770d5af7433d53cea973,then add 2 gas once i start ultra cavern 
1780.0,bd8cc98182419b49a5f502d54a35d348c8ae4d71,e8120869002755ad985b07223913d329cca92ffa then don't let them get to mass air those units take forever to produce if you scout that they are making them try to deny bases and keep them at home by threatening counterattacks 
1792.0,2990d9aa63105765210f770d5af7433d53cea973,ok thx 
1820.0,e8120869002755ad985b07223913d329cca92ffa,yeah i know i fucked up and didn't go aggressive enough when they were turtling up with cannons at start 
1846.0,e8120869002755ad985b07223913d329cca92ffa,but wasn't sure what to do later if they already have that army even though i had huge economic advantage 
1935.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,don't let them get to that point is kind of a copoout strategy advice but there aren't great solid solutions for dealing with that endgame protoss air-based deathball 
1943.0,866c889a9867f5adc95b9361d10f53e32aad99f3,target fire brood lords gg lol 
1970.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,what i've found to be effective is roach/ravager/queen in a nydus queens will cover for the first 2-3 voids and the ravagers can bust structures fast 
1994.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,nydus can even be outside their bases not critical to land it inside since you have ravager biles 
2037.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,just make sure to keep that spotting overlord alive as long as possible to help queens nail the voids that he'd like make 1-2 of to counter any early agression on your part 
2080.0,c66f5ad620a15ed3046b6004da6939315638202e,you don´t have anyone that can take out henry brogan 
2165.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,anyone know off-hand: assuming 0/0 for both how many banes do you need to take out one roach 
2165.0,8b49d99581d38564cccf4b1b5b4304cc64ba28fc,according to lambo nydus is the direct counter to a spire 
2174.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,nydus/queens man 
2207.0,eeecd2b33acbc9702f3c5bf1fef911892aba3082,f 
2209.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,f 
2211.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,f 
2211.0,8c2fad36906ef56febfb09eb81e4f2c40fc6e343,wutface 
2220.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,moght as well gg now then f 
2227.0,d3c1d4321fc8dce99b982fe6d04e1a0f8d1aa282,well if you can auto jump to the other side of the map air units have to defend at home or you eco will die 
2277.0,e3a2dec1b8c007abbba9e773007bc31d130dd96c,ff69a889837e11dd08f018bbcc8042bbadd1ab56 i do really like the website btw but i have eye problems so just wondered if you will add a darkmode as mostly white sites hurt 
2298.0,e3a2dec1b8c007abbba9e773007bc31d130dd96c,have half sight in one eye 
2318.0,9d427ece1eb81295652109a572b79ce9320bf4d5,fungals on banelings lul 
2319.0,d9abebd9381d0ca0efac47adbe8cf63756e92176,wow 
2319.0,d9abebd9381d0ca0efac47adbe8cf63756e92176,gg 
2329.0,2990d9aa63105765210f770d5af7433d53cea973,oh my lord 
2331.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,i'm jizzing kreygasm 
2336.0,aa3a955d953cef895c141dc5c745e7a85a7ea49c,money 
2337.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,pig is so happy lol 
2339.0,eeecd2b33acbc9702f3c5bf1fef911892aba3082,moneyyyyy 
2340.0,e7e6174e161073c20e64e3c49fb5ae22eccc01f6,ipiggasm 
2340.0,d3c1d4321fc8dce99b982fe6d04e1a0f8d1aa282,gg 
2342.0,26e53cd003a157a493e6118b0e0905cc6910f4df,gg 
2342.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,infestors pogchamp 
2342.0,aa3a955d953cef895c141dc5c745e7a85a7ea49c,those fucking fungals 
2345.0,aa3a955d953cef895c141dc5c745e7a85a7ea49c,ggg 
2357.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,i think pig forgot about the drops 
2364.0,d9abebd9381d0ca0efac47adbe8cf63756e92176,nardegg 
2365.0,b8dc1dee53519e1b03321acaf37ed96f1c75e7a8,gg 
2367.0,ea1c88d221ac9da90e2e8621918835fcc9695a4f,gg 
2367.0,b8dc1dee53519e1b03321acaf37ed96f1c75e7a8,action singsnote singsnote no hobbits singsnote singsnote no resub singsnote singsnote 
2368.0,7f8775d2e344f13f633ebb170036b3530da52b36,greedy boi 
2370.0,78d25d38b00f12040df7a15a59f121aefc94b9eb,very nice 
2370.0,b8dc1dee53519e1b03321acaf37ed96f1c75e7a8,action singsnote singsnote no hobbits singsnote singsnote no resub singsnote singsnote 
2382.0,aa3a955d953cef895c141dc5c745e7a85a7ea49c,jesus that made me shart myself 
2387.0,9a4c8054e927d5170275ea8d0b87292b809043a4,ff69a889837e11dd08f018bbcc8042bbadd1ab56 say something filthy for me 
2392.0,aa3a955d953cef895c141dc5c745e7a85a7ea49c,filthy 
2399.0,2d495234b380667bf868db546fb5b4be11a0e6cd,those fungals just ruined him 
2408.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,pig dropped his nuts in blue's mouth didn't forget 
2470.0,7f8775d2e344f13f633ebb170036b3530da52b36,pogchamp 
2476.0,e1fe5e02478fc79cd350426f39a29a581d52630b,jakatak raid pogchamp 
2481.0,469371a662cd0c84f7a07a47586a3616a1bf885a,jakatakat jakatakat jakatakat 
2487.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,lul 
2487.0,c0a71afa70ad5d2fa9e59a0b4633e070dd3fd6a5,lolll 
2497.0,e1a952f220c6d8a78fbe2d159d8564e3f4c02a04,production pog 
2500.0,75cd729cff424d52912d453e9b5e6c62a68a1bc5,lol 
2508.0,e1fe5e02478fc79cd350426f39a29a581d52630b,469371a662cd0c84f7a07a47586a3616a1bf885a thank you for the stream myfriend 
2514.0,469371a662cd0c84f7a07a47586a3616a1bf885a,<3 
2523.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,bruh how tall are you 
2534.0,8f5377e2dd66d8abd84b9ce0b1e4137d1e9bae17,lol 
2551.0,c0a71afa70ad5d2fa9e59a0b4633e070dd3fd6a5,lul 
2551.0,e8120869002755ad985b07223913d329cca92ffa,the production quality is top notch in here pogchamp 
2564.0,469371a662cd0c84f7a07a47586a3616a1bf885a,beautiful green screen creativity occuring 
2568.0,469371a662cd0c84f7a07a47586a3616a1bf885a,<3 
2575.0,ba3dc9b4f94181644fd479b183c257d8e126c0fc,lul 
2579.0,8f5377e2dd66d8abd84b9ce0b1e4137d1e9bae17,love it lol 
2583.0,8c2fad36906ef56febfb09eb81e4f2c40fc6e343,lul bammm 
2588.0,878dd35d6aaa3513850d9348cfed430f689db452,lul 
2605.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,pig has three hands 
2607.0,c2e701d7e3c5babfd5bbb8cb9943051371925d76,sometimes 
2609.0,8c2fad36906ef56febfb09eb81e4f2c40fc6e343,how to blow 10k minerals in 10 seconds: the movie 
2612.0,7fd764ad2709bb403b8464a481b513721cc9d8bd,ahaha wtf this overlay is great 
2620.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,is that big gabe behind him 
2631.0,e8120869002755ad985b07223913d329cca92ffa,third hand is a birthday gift from abathur 
2636.0,369bc6605464d076e614ad33f5d84b087a8777cb,lol 
2637.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,giga gabe 
2642.0,b8dc1dee53519e1b03321acaf37ed96f1c75e7a8,seemsgood thx kaelaris 
2662.0,8b49d99581d38564cccf4b1b5b4304cc64ba28fc,the reynor level or do you speak about the more stale player 
2678.0,469371a662cd0c84f7a07a47586a3616a1bf885a,oh i just did that and died thanks for the tips <3 
2681.0,06bfdd67775127b42f20362332460e34aa3db57b,neuropizza neuropizza 
2687.0,42c4d9d06757aaa79fc7bb16d197b0deeedaac4e,that just happened to me in zvz 
2692.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,smorc 
2692.0,b8dc1dee53519e1b03321acaf37ed96f1c75e7a8,action singsnote singsnote no hobbits singsnote singsnote no resub singsnote singsnote rimworld pls go singsnote singsnote 
2698.0,9a4c8054e927d5170275ea8d0b87292b809043a4,if someone can convince pig to say i only do over the pants mouth stuff i'll finish the newbie stream goal 
2708.0,d3d974b0b98b8da15e1dc1ca228f85eeae9d7965,really :d 
2712.0,e3a2dec1b8c007abbba9e773007bc31d130dd96c,ff69a889837e11dd08f018bbcc8042bbadd1ab56 i do really like the website btw but i have eye problems so just wondered if you will add a darkmode as mostly white sites hurt 
2715.0,d69e64a09b900c1eb6982cd88603a25befc890bc,i mean they always say it might be the last biblethump 
2719.0,d3d974b0b98b8da15e1dc1ca228f85eeae9d7965,meet you there i guess ff69a889837e11dd08f018bbcc8042bbadd1ab56 
2728.0,878dd35d6aaa3513850d9348cfed430f689db452,pogchamp 
2731.0,d69e64a09b900c1eb6982cd88603a25befc890bc,flex_ible gotta convince flux to come 
2731.0,4fe750d8b1927a2cc242ab255c2ed2a451beea86,wow thats sad no more homestory cup 
2731.0,bc6b18afdf844e6edbdedee73adc9b6feb893bcc,do u have a build order somewhere on the terran vs toss helion runby and banshe attack 
2745.0,076a9392cf619cd72a3e4b65c5fd9236ee1211a3,4 infestor hit squad 
2748.0,bc6b18afdf844e6edbdedee73adc9b6feb893bcc,ff69a889837e11dd08f018bbcc8042bbadd1ab56 
2753.0,878dd35d6aaa3513850d9348cfed430f689db452,last hsc noo biblethump 
2754.0,312ff6844d3e7c1892716664313b90b903b179f4,yeeeah i will come 
2769.0,312ff6844d3e7c1892716664313b90b903b179f4,booked a nice apartment there nature home 
2779.0,e3a2dec1b8c007abbba9e773007bc31d130dd96c,just wondered its awesome tbh 
2808.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,filth 
2817.0,bc6b18afdf844e6edbdedee73adc9b6feb893bcc,gucci main 
2820.0,bc6b18afdf844e6edbdedee73adc9b6feb893bcc,appreciate 
2839.0,1be14a9d4a306cf3f15f3ee23583a9813f7000aa,bless lul lul 
2864.0,2aa8711d210a1e298e4d9b6f655d8c212f2d8c9c,dankcrdankcraft1 
2915.0,eeecd2b33acbc9702f3c5bf1fef911892aba3082,brucegscared brucegscared brucegscared 
2935.0,d3d974b0b98b8da15e1dc1ca228f85eeae9d7965,that has to be cheese right 
2978.0,eeecd2b33acbc9702f3c5bf1fef911892aba3082,brucegshades brucegshades brucegshades brucegshades 
